chrom,start0,end0,gene_id,gene_name,strand
chr4,35949842,36246136,ENSG00000047365.13_12,ARAP2,-
chr4,36283237,36349133,ENSG00000197057.10_16,DTHD1,+
chr4,37246364,37451085,ENSG00000174145.8_7,NWD2,+
chr4,37455546,37625117,ENSG00000154274.15_7,C4orf19,+
chr4,37592421,37687998,ENSG00000181826.10_11,RELL1,-
chr4,37828281,37864558,ENSG00000169299.14_12,PGM2,+
chr4,37892704,38140796,ENSG00000065882.18_18,TBC1D1,+
chr4,37962018,37962749,ENSG00000250254.2_14,PTTG2,+
chr4,38665817,38703138,ENSG00000109787.13_7,KLF3,+
chr4,38773858,38784611,ENSG00000174123.11_9,TLR10,-
chr4,38789175,38858438,ENSG00000174125.9_13,TLR1,-
chr4,38824517,38858438,ENSG00000174130.13_12,TLR6,-
chr4,38869297,38947360,ENSG00000197712.12_7,FAM114A1,+
chr4,38967619,39034542,ENSG00000121895.9_13,TMEM156,-
chr4,39046658,39128477,ENSG00000109790.18_12,KLHL5,+
chr4,39184123,39287430,ENSG00000157796.18_9,WDR19,+
chr4,39289075,39367995,ENSG00000035928.17_14,RFC1,-
chr4,39408549,39453153,ENSG00000134962.7_7,KLB,+
chr4,39454206,39460551,ENSG00000163682.17_10,RPL9,-
chr4,39460623,39486729,ENSG00000121897.15_16,LIAS,+
chr4,39500374,39529931,ENSG00000109814.12_12,UGDH,-
chr4,39547955,39640522,ENSG00000163683.12_14,SMIM14,-
chr4,39699728,39784412,ENSG00000078140.14_8,UBE2K,+
chr4,39824482,39979576,ENSG00000121892.15_16,PDS5A,-
chr4,40058416,40159872,ENSG00000078177.15_9,N4BP2,+
chr4,40192630,40248587,ENSG00000168421.14_11,RHOH,+
chr4,40337349,40357234,ENSG00000174343.6_7,CHRNA9,+
chr4,40425283,40632892,ENSG00000163694.15_17,RBM47,-
chr4,40751941,40813201,ENSG00000179299.17_13,NSUN7,+
chr4,40812043,41218731,ENSG00000163697.18_19,APBB2,-
chr4,41145038,41145116,ENSG00000289761.1_3,ENSG00000289761,-
chr4,41258429,41270472,ENSG00000154277.13_9,UCHL1,+
chr4,41361623,41702061,ENSG00000064042.18_18,LIMCH1,+
chr4,41746098,41750742,ENSG00000109132.7_8,PHOX2B,-
chr4,41937145,41962820,ENSG00000109133.14_10,TMEM33,+
chr4,41983772,41988482,ENSG00000182308.7_8,DCAF4L1,+
chr4,41992518,42092478,ENSG00000014824.14_8,SLC30A9,+
chr4,42112869,42154895,ENSG00000188848.17_11,BEND4,-
chr4,42399504,42404504,ENSG00000178343.5_7,SHISA3,+
chr4,42410389,42659138,ENSG00000124406.17_16,ATP8A1,-
chr4,42894729,43032675,ENSG00000215203.3_5,GRXCR1,+
chr4,44175919,44450826,ENSG00000183783.7_11,KCTD8,-
chr4,44624104,44680573,ENSG00000177752.15_16,YIPF7,-
chr4,44680436,44702945,ENSG00000151806.14_7,GUF1,+
chr4,44684216,44728605,ENSG00000163281.12_12,GNPDA2,-
chr4,46037785,46126071,ENSG00000163285.8_9,GABRG1,-
chr4,46245564,46477247,ENSG00000151834.16_18,GABRA2,-
chr4,46736843,46911262,ENSG00000170516.17_14,COX7B2,-
chr4,46920916,46995598,ENSG00000109158.11_9,GABRA4,-
chr4,46995739,47428464,ENSG00000163288.14_10,GABRB1,+
chr4,47452803,47465719,ENSG00000169019.11_9,COMMD8,-
chr4,47487291,47595503,ENSG00000145246.14_10,ATP10D,+
chr4,47596015,47840123,ENSG00000145244.12_12,CORIN,-
chr4,47849249,47916684,ENSG00000170448.12_9,NFXL1,-
chr4,47916158,48042190,ENSG00000163293.12_9,NIPAL1,+
chr4,47937993,48018698,ENSG00000198515.16_13,CNGA1,-
chr4,48065174,48136267,ENSG00000074966.12_11,TXK,-
chr4,48137799,48271855,ENSG00000135605.13_9,TEC,-
chr4,48343545,48428218,ENSG00000109171.15_7,SLAIN2,+
chr4,48485359,48491543,ENSG00000145248.7_8,SLC10A4,+
chr4,48492268,48496406,ENSG00000182223.7_7,ZAR1,+
chr4,48499373,48782339,ENSG00000075539.15_15,FRYL,-
chr4,48807228,48863834,ENSG00000109180.15_17,OCIAD1,+
chr4,48887035,48908954,ENSG00000145247.12_13,OCIAD2,-
chr4,48988291,49064098,ENSG00000109182.12_7,CWH43,+
chr4,52709165,52783003,ENSG00000109184.15_10,DCUN1D4,+
chr4,52859817,52886529,ENSG00000188993.4_7,LRRC66,-
chr4,52886871,52904465,ENSG00000163069.13_10,SGCB,-
chr4,52917469,52963465,ENSG00000163071.11_12,SPATA18,+
chr4,53457125,53525468,ENSG00000109189.13_13,USP46,-
chr4,53588784,53617753,ENSG00000226887.8_10,ERVMER34-1,-
chr4,53728483,53733002,ENSG00000128045.7_7,RASL11B,+
chr4,53739148,54232233,ENSG00000184178.17_12,SCFD2,-
chr4,54243735,54330549,ENSG00000145216.17_19,FIP1L1,+
chr4,54244005,55161439,ENSG00000282278.1_12,ENSG00000282278,+
chr4,54325467,54567572,ENSG00000072201.14_16,LNX1,-
chr4,54860969,54930772,ENSG00000109220.12_11,CHIC2,-
chr4,54965689,54968665,ENSG00000180613.11_8,GSX2,+
chr4,55095446,55164412,ENSG00000134853.12_11,PDGFRA,+
chr4,55523433,55606949,ENSG00000157404.17_14,KIT,+
chr4,55944647,55991762,ENSG00000128052.10_12,KDR,-
chr4,56212379,56239267,ENSG00000128039.13_13,SRD5A3,+
chr4,56212394,56254535,ENSG00000288695.1_10,ENSG00000288695,+
chr4,56262123,56319564,ENSG00000134851.13_8,TMEM165,+
chr4,56294069,56413076,ENSG00000134852.15_10,CLOCK,-
chr4,56422685,56458412,ENSG00000163440.12_10,PDCL2,-
chr4,56461395,56502865,ENSG00000109255.11_13,NMU,-
chr4,56685955,56703655,ENSG00000250821.3_11,EXOC1L,+
chr4,56719813,56771252,ENSG00000090989.18_11,EXOC1,+
chr4,56815036,56899527,ENSG00000174799.12_8,CEP135,+
chr4,56915263,57196775,ENSG00000109265.15_20,CRACD,+
chr4,57204452,57253674,ENSG00000157426.14_9,AASDH,-
chr4,57259527,57301781,ENSG00000128059.8_9,PPAT,-
chr4,57301906,57330744,ENSG00000128050.9_10,PAICS,+
chr4,57333782,57369847,ENSG00000174780.17_16,SRP72,+
chr4,57371374,57391125,ENSG00000196503.5_13,ARL9,+
chr4,57396771,57469673,ENSG00000249693.3_9,SPMAP2L,+
chr4,57514154,57548043,ENSG00000171476.23_11,HOPX,-
chr4,57676025,57687908,ENSG00000128040.13_13,SPINK2,-
chr4,57774041,57832974,ENSG00000084093.19_8,REST,+
chr4,57829515,57843772,ENSG00000084092.7_9,NOA1,-
chr4,57843887,57897324,ENSG00000047315.17_10,POLR2B,+
chr4,57896938,57976551,ENSG00000163453.11_10,IGFBP7,-
chr4,62066043,62944053,ENSG00000150471.17_15,ADGRL3,+
chr4,65140974,65275186,ENSG00000205678.8_12,TECRL,-
chr4,66185280,66536213,ENSG00000145242.14_17,EPHA5,-
chr4,68334479,68411221,ENSG00000145241.11_10,CENPC,-
chr4,68424444,68473055,ENSG00000035720.8_7,STAP1,+
chr4,68478369,68566873,ENSG00000033178.13_12,UBA6,-
chr4,68602835,68620106,ENSG00000109163.7_8,GNRHR,-
chr4,68686593,68749720,ENSG00000153802.12_9,TMPRSS11D,-
chr4,68775112,68829858,ENSG00000187054.17_16,TMPRSS11A,-
chr4,68918915,68995587,ENSG00000198092.6_10,TMPRSS11F,-
chr4,69092370,69111412,ENSG00000185873.8_9,TMPRSS11B,-
chr4,69176104,69215808,ENSG00000083896.13_13,YTHDC1,-
chr4,69313180,69363322,ENSG00000087128.10_7,TMPRSS11E,+
chr4,69402890,69442131,ENSG00000197888.3_10,UGT2B17,-
chr4,69512314,69536370,ENSG00000196620.10_10,UGT2B15,-
chr4,69681711,69697741,ENSG00000109181.12_7,UGT2B10,+
chr4,69794180,69817522,ENSG00000135220.11_9,UGT2A3,-
chr4,69917080,69978705,ENSG00000171234.14_8,UGT2B7,+
chr4,70065668,70080466,ENSG00000213759.10_10,UGT2B11,-
chr4,70146192,70160768,ENSG00000135226.18_8,UGT2B28,+
chr4,70345882,70391732,ENSG00000156096.15_13,UGT2B4,-
chr4,70454134,70505360,ENSG00000271271.6_9,UGT2A2,-
chr4,70454134,70518967,ENSG00000173610.13_15,UGT2A1,-
chr4,70586884,70653679,ENSG00000173597.9_10,SULT1B1,-
chr4,70676497,70713504,ENSG00000284695.1_12,ENSG00000284695,-
chr4,70706929,70725863,ENSG00000109193.12_11,SULT1E1,-
chr4,70796785,70812292,ENSG00000126545.14_17,CSN1S1,+
chr4,70820973,70831446,ENSG00000135222.7_8,CSN2,-
chr4,70861682,70868287,ENSG00000126549.11_14,STATH,+
chr4,70894171,70902255,ENSG00000205649.9_12,HTN3,+
chr4,70916154,70924565,ENSG00000126550.10_7,HTN1,+
chr4,70999332,71042516,ENSG00000187533.14_7,PRR27,+
chr4,71061441,71070293,ENSG00000109205.17_6,ODAM,+
chr4,71091840,71100969,ENSG00000181617.6_7,FDCSP,+
chr4,71104098,71117191,ENSG00000171209.4_7,CSN3,+
chr4,71200697,71202833,ENSG00000145309.6_7,CABS1,+
chr4,71226476,71232875,ENSG00000109208.5_7,SMR3A,+
chr4,71235809,71255961,ENSG00000171201.12_7,SMR3B,+
chr4,71263647,71275912,ENSG00000171199.11_8,OPRPN,+
chr4,71296208,71348714,ENSG00000171195.11_8,MUC7,+
chr4,71384285,71398460,ENSG00000187689.10_11,AMTN,+
chr4,71457972,71473005,ENSG00000178522.15_8,AMBN,+
chr4,71494460,71512541,ENSG00000132464.13_8,ENAM,+
chr4,71521257,71547534,ENSG00000132465.12_11,JCHAIN,-
chr4,71554248,71556268,ENSG00000132467.4_7,UTP3,+
chr4,71569920,71674336,ENSG00000018189.13_12,RUFY3,+
chr4,71681499,71705614,ENSG00000132463.15_13,GRSF1,-
chr4,71768042,71888166,ENSG00000173542.9_7,MOB1B,+
chr4,71858254,71896631,ENSG00000156136.10_11,DCK,+
chr4,71928383,72437804,ENSG00000080493.19_18,SLC4A4,+
chr4,72607412,72669758,ENSG00000145321.13_12,GC,-
chr4,72897618,73014022,ENSG00000056291.19_12,NPFFR2,+
chr4,73146685,73434938,ENSG00000156140.11_11,ADAMTS3,-
chr4,73918078,73935472,ENSG00000163626.17_12,COX18,-
chr4,73939092,74124515,ENSG00000132466.20_20,ANKRD17,-
chr4,74262830,74287199,ENSG00000163631.19_17,ALB,+
chr4,74296854,74321891,ENSG00000081051.8_9,AFP,+
chr4,74347461,74369718,ENSG00000079557.5_7,AFM,+
chr4,74437266,74486348,ENSG00000169435.14_10,RASSF6,-
chr4,74606235,74613096,ENSG00000169429.13_12,CXCL8,+
chr4,74702356,74714781,ENSG00000124875.10_12,CXCL6,+
chr4,74719012,74720200,ENSG00000109272.4_7,PF4V1,+
chr4,74735109,74737025,ENSG00000163739.5_7,CXCL1,+
chr4,74846527,74847744,ENSG00000163737.5_10,PF4,-
chr4,74846790,74853907,ENSG00000288796.1_4,ENSG00000288796,-
chr4,74851682,74853993,ENSG00000163736.5_11,PPBP,-
chr4,74861358,74864394,ENSG00000163735.7_9,CXCL5,-
chr4,74902305,74904524,ENSG00000163734.4_8,CXCL3,-
chr4,74962756,74964913,ENSG00000081041.9_9,CXCL2,-
chr4,74979890,75168816,ENSG00000163738.19_15,MTHFD2L,+
chr4,75174186,75182506,ENSG00000182585.10_9,EPGN,+
chr4,75230861,75254466,ENSG00000124882.4_7,EREG,+
chr4,75310852,75320722,ENSG00000109321.11_13,AREG,+
chr4,75480628,75490486,ENSG00000205595.3,AREGB,+
chr4,75669968,75719733,ENSG00000174808.12_9,BTC,-
chr4,75858304,75975325,ENSG00000169116.11_7,PARM1,+
chr4,76404242,76439974,ENSG00000163743.14_8,RCHY1,-
chr4,76439155,76475683,ENSG00000174796.12_11,THAP6,+
chr4,76481257,76491081,ENSG00000174792.11_8,ODAPH,+
chr4,76501705,76555900,ENSG00000138769.11_12,CDKL2,-
chr4,76567032,76649773,ENSG00000138757.15_18,G3BP2,-
chr4,76649760,76735439,ENSG00000138768.15_12,USO1,+
chr4,76781016,76823724,ENSG00000156194.19_13,PPEF2,-
chr4,76831807,76862166,ENSG00000138744.17_16,NAAA,-
chr4,76862102,76912115,ENSG00000198301.12_10,SDAD1,-
chr4,76922427,76928662,ENSG00000138755.6_9,CXCL9,-
chr4,76932336,77035201,ENSG00000156219.18_19,ART3,+
chr4,76942270,76944650,ENSG00000169245.6_9,CXCL10,-
chr4,76954834,76962568,ENSG00000169248.13_11,CXCL11,-
chr4,77028714,77069638,ENSG00000138750.16_12,NUP54,-
chr4,77079889,77155689,ENSG00000138760.11_17,SCARB2,-
chr4,77135192,77204936,ENSG00000189157.14_12,FAM47E,+
chr4,77172873,77232282,ENSG00000272414.6_15,FAM47E-STBD1,+
chr4,77227885,77232283,ENSG00000118804.9_8,STBD1,+
chr4,77234149,77343021,ENSG00000163749.18_14,CCDC158,-
chr4,77356381,77704406,ENSG00000138771.16_9,SHROOM3,+
chr4,77815304,77819297,ENSG00000186212.4_8,SOWAHB,-
chr4,77870903,77961537,ENSG00000138758.12_19,SEPTIN11,+
chr4,77968307,77997462,ENSG00000118816.12_15,CCNI,-
chr4,78078359,78354542,ENSG00000138764.15_12,CCNG2,+
chr4,78432906,78532988,ENSG00000156234.8_6,CXCL13,+
chr4,78634540,78740769,ENSG00000138767.14_16,CNOT6L,-
chr4,78783983,78873939,ENSG00000169288.18_10,MRPL1,+
chr4,78978476,79465423,ENSG00000138759.20_10,FRAS1,+
chr4,79472900,79531605,ENSG00000138772.13_10,ANXA3,+
chr4,79697495,79837519,ENSG00000138756.19_10,BMP2K,+
chr4,79808280,79860592,ENSG00000163291.14_8,PAQR3,-
chr4,80146847,80247215,ENSG00000156269.5_10,NAA11,-
chr4,80327514,80329382,ENSG00000196475.6_9,GK2,-
chr4,80822299,81046608,ENSG00000163297.18_11,ANTXR2,-
chr4,81105032,81125483,ENSG00000152784.16_7,PRDM8,+
chr4,81187792,81257834,ENSG00000138675.17_9,FGF5,+
chr4,81256883,81884904,ENSG00000197826.13_10,CFAP299,+
chr4,81951861,81978781,ENSG00000152785.8_8,BMP3,+
chr4,82008528,82136376,ENSG00000138669.11_9,PRKG2,-
chr4,82347546,82965397,ENSG00000138670.19_19,RASGEF1B,-
chr4,83273650,83295656,ENSG00000138668.20_21,HNRNPD,-
chr4,83343717,83351615,ENSG00000152795.18_18,HNRNPDL,-
chr4,83351742,83382330,ENSG00000145293.17_9,ENOPH1,+
chr4,83404322,83483510,ENSG00000249242.8_13,TMEM150C,-
chr4,83550691,83719949,ENSG00000145284.12_9,SCD5,-
chr4,83739661,83822319,ENSG00000138674.17_18,SEC31A,-
chr4,83821836,83841122,ENSG00000168152.13_8,THAP9,+
chr4,83831125,83934079,ENSG00000189308.11_12,LIN54,-
chr4,83955599,83996971,ENSG00000138663.9_11,COPS4,+
chr4,83980645,84058228,ENSG00000145287.12_10,PLAC8,-
chr4,84182688,84206067,ENSG00000173085.15_18,COQ2,-
chr4,84213613,84256306,ENSG00000173083.16_10,HPSE,-
chr4,84328495,84377008,ENSG00000163312.11_10,HELQ,-
chr4,84377084,84390888,ENSG00000163319.11_9,MRPS18C,+
chr4,84380669,84444501,ENSG00000163322.14_12,ABRAXAS1,-
chr4,84457066,84527028,ENSG00000138678.11_7,GPAT3,+
chr4,85413137,85420445,ENSG00000163623.10_9,NKX6-1,-
chr4,85504279,85572487,ENSG00000163624.6_7,CDS1,+
chr4,85589917,85887843,ENSG00000163625.17_13,WDFY3,-
chr4,86396302,86923821,ENSG00000138639.18_9,ARHGAP24,+
chr4,86911159,87515778,ENSG00000109339.24_24,MAPK10,-
chr4,87515467,87736324,ENSG00000163629.13_10,PTPN13,+
chr4,87744620,87770537,ENSG00000145283.8_9,SLC10A6,-
chr4,87797357,87813575,ENSG00000163633.12_12,C4orf36,-
chr4,87807624,87857330,ENSG00000285458.1_10,C4orf36,-
chr4,87856153,88062191,ENSG00000172493.23_17,AFF1,+
chr4,88081254,88161466,ENSG00000145332.14_9,KLHL8,-
chr4,88224940,88244038,ENSG00000170509.12_10,HSD17B13,-
chr4,88257666,88312340,ENSG00000198189.11_10,HSD17B11,-
chr4,88343724,88380607,ENSG00000170502.13_13,NUDT9,+
chr4,88381953,88392202,ENSG00000272856.2_13,SCPPPQ1,-
chr4,88394486,88452213,ENSG00000152583.13_15,SPARCL1,-
chr4,88529680,88538025,ENSG00000152591.15_10,DSPP,+
chr4,88571431,88585513,ENSG00000152592.15_9,DMP1,+
chr4,88720705,88733587,ENSG00000029559.7_7,IBSP,+
chr4,88742549,88767966,ENSG00000152595.17_11,MEPE,+
chr4,88896818,88904684,ENSG00000118785.15_10,SPP1,+
chr4,88928786,88998929,ENSG00000118762.8_7,PKD2,+
chr4,89011301,89152780,ENSG00000118777.12_16,ABCG2,-
chr4,89178771,89205921,ENSG00000163644.15_11,PPM1K,-
chr4,89299890,89364249,ENSG00000138642.16_11,HERC6,+
chr4,89378269,89427314,ENSG00000138646.9_8,HERC5,+
chr4,89442148,89444927,ENSG00000145337.5_10,PYURF,-
chr4,89442148,89444927,ENSG00000255072.2_8,PIGY,-
chr4,89444960,89629601,ENSG00000287542.1_13,HERC3,+
chr4,89513584,89629690,ENSG00000138641.19_14,HERC3,+
chr4,89617063,89618980,ENSG00000177432.8_10,NAP1L5,-
chr4,89647105,90032549,ENSG00000138640.15_13,FAM13A,-
chr4,90032683,90036052,ENSG00000180346.5_8,TIGD2,+
chr4,90157533,90229088,ENSG00000185477.6_9,GPRIN3,-
chr4,90621495,90759466,ENSG00000145335.17_11,SNCA,-
chr4,90800682,90875780,ENSG00000138722.10_8,MMRN1,+
chr4,91048544,92526446,ENSG00000184305.16_14,CCSER1,+
chr4,93225116,94731308,ENSG00000152208.13_12,GRID2,+
chr4,94749903,94752115,ENSG00000172238.6_7,ATOH1,+
chr4,95128761,95212443,ENSG00000163104.18_14,SMARCAD1,+
chr4,95219685,95264027,ENSG00000163106.11_9,HPGDS,-
chr4,95373007,95589378,ENSG00000163110.15_16,PDLIM5,+
chr4,95679105,96079599,ENSG00000138696.11_15,BMPR1B,+
chr4,96083654,96470357,ENSG00000182168.16_10,UNC5C,-
chr4,96761243,96762615,ENSG00000163114.6_8,PDHA2,+
chr4,98105243,99064627,ENSG00000163116.10_11,STPG2,-
chr4,99182534,99365009,ENSG00000138698.15_12,RAP1GDS1,+
chr4,99391517,99579762,ENSG00000168785.8_11,TSPAN5,-
chr4,99800426,99850284,ENSG00000151247.13_12,EIF4E,-
chr4,99916809,99983960,ENSG00000164024.12_7,METAP1,+
chr4,99992128,100009952,ENSG00000197894.12_14,ADH5,-
chr4,100044807,100078949,ENSG00000198099.10_19,ADH4,-
chr4,100123794,100140694,ENSG00000172955.17_19,ADH6,-
chr4,100197525,100212160,ENSG00000187758.8_9,ADH1A,-
chr4,100226127,100242558,ENSG00000196616.15_11,ADH1B,-
chr4,100257653,100273903,ENSG00000248144.6_12,ADH1C,-
chr4,100333417,100356667,ENSG00000196344.12_9,ADH7,-
chr4,100432168,100463460,ENSG00000138813.10_7,C4orf17,+
chr4,100467865,100485196,ENSG00000145331.14_12,TRMT10A,-
chr4,100485237,100545154,ENSG00000138823.14_15,MTTP,+
chr4,100557685,100578985,ENSG00000248713.2_13,C4orf54,-
chr4,100737983,100791347,ENSG00000070190.13_9,DAPP1,+
chr4,100799492,100815585,ENSG00000109270.13_9,LAMTOR3,-
chr4,100817404,100867775,ENSG00000164031.17_13,DNAJB14,-
chr4,100869242,100871512,ENSG00000164032.12_16,H2AZ1,-
chr4,101107026,101111939,ENSG00000145358.6_11,DDIT4L,-
chr4,101316497,101801283,ENSG00000164035.10_11,EMCN,-
chr4,101944565,102269435,ENSG00000138814.17_12,PPP3CA,-
chr4,102332442,102995969,ENSG00000153064.12_13,BANK1,+
chr4,103172236,103352415,ENSG00000138821.14_10,SLC39A8,-
chr4,103422486,103538459,ENSG00000109320.14_20,NFKB1,+
chr4,103551926,103682151,ENSG00000109323.11_16,MANBA,-
chr4,103715539,103790053,ENSG00000109332.20_20,UBE2D3,-
chr4,103790130,103813964,ENSG00000145354.12_10,CISD2,+
chr4,103806204,103940876,ENSG00000164037.17_10,SLC9B1,-
chr4,103941024,104006986,ENSG00000164038.16_12,SLC9B2,-
chr4,103998748,104021027,ENSG00000164039.15_12,BDH2,-
chr4,104026505,104119602,ENSG00000138778.14_17,CENPE,-
chr4,104507187,104641142,ENSG00000169836.5_9,TACR3,-
chr4,105389464,105416058,ENSG00000168772.12_10,CXXC4,-
chr4,106067031,106200973,ENSG00000168769.14_14,TET2,+
chr4,106290233,106395224,ENSG00000138777.20_12,PPA2,-
chr4,106473776,106629250,ENSG00000236699.9_8,ARHGEF38,+
chr4,106603783,106817143,ENSG00000138785.16_17,INTS12,-
chr4,106629934,106768882,ENSG00000138780.15_15,GSTCD,+
chr4,106815931,106925184,ENSG00000168743.13_16,NPNT,+
chr4,106962755,107237840,ENSG00000145348.17_10,TBCK,-
chr4,107236700,107270613,ENSG00000164022.18_17,AIMP1,+
chr4,107278548,107289935,ENSG00000250298.6_14,GIMD1,-
chr4,107842958,108204963,ENSG00000155011.9_10,DKK2,-
chr4,108511432,108641390,ENSG00000138801.9_9,PAPSS1,-
chr4,108745718,108836203,ENSG00000164023.15_12,SGMS2,+
chr4,108852704,108874617,ENSG00000155016.18_7,CYP2U1,+
chr4,108910869,108956397,ENSG00000138796.18_14,HADH,+
chr4,108968700,109090112,ENSG00000138795.10_14,LEF1,-
chr4,109541724,109551640,ENSG00000109475.18_8,RPL34,+
chr4,109571740,109588976,ENSG00000198856.13_7,OSTC,+
chr4,109663203,109684210,ENSG00000164089.9_11,ETNPPL,-
chr4,109729880,110223908,ENSG00000188517.17_14,COL25A1,-
chr4,110354927,110462052,ENSG00000138802.11_13,SEC24B,+
chr4,110481364,110609875,ENSG00000005059.16_10,MCUB,+
chr4,110609777,110624739,ENSG00000138794.10_10,CASP6,-
chr4,110631144,110651226,ENSG00000123739.11_15,PLA2G12A,-
chr4,110635071,110723155,ENSG00000285330.1_14,ENSG00000285330,-
chr4,110652163,110723306,ENSG00000205403.15_13,CFI,-
chr4,110736665,110745896,ENSG00000109534.17_7,GAR1,+
chr4,110749127,110770279,ENSG00000180245.7_13,RRH,+
chr4,110769262,110793471,ENSG00000183423.12_8,LRIT3,+
chr4,110834038,110934922,ENSG00000138798.13_10,EGF,+
chr4,110967001,111120355,ENSG00000170522.10_10,ELOVL6,-
chr4,111286888,111486441,ENSG00000138792.10_15,ENPEP,+
chr4,111538578,111563279,ENSG00000164093.18_20,PITX2,-
chr4,113066609,113116412,ENSG00000174749.6_10,FAM241A,+
chr4,113152895,113194266,ENSG00000138660.12_9,AP1AR,+
chr4,113194123,113207111,ENSG00000145365.12_10,TIFA,-
chr4,113206664,113363777,ENSG00000073331.18_14,ALPK1,+
chr4,113434671,113437336,ENSG00000178403.4_9,NEUROG2,-
chr4,113460488,113558151,ENSG00000138658.17_14,ZGRF1,-
chr4,113558232,113578852,ENSG00000174720.18_18,LARP7,+
chr4,113739187,114305377,ENSG00000145362.21_23,ANK2,+
chr4,114339209,114683083,ENSG00000145349.20_20,CAMK2D,-
chr4,114821439,114900883,ENSG00000180801.14_10,ARSJ,-
chr4,115519925,115599744,ENSG00000174607.12_10,UGT8,+
chr4,115748918,116035032,ENSG00000138653.10_9,NDST4,-
chr4,118004709,118006732,ENSG00000174599.5_8,TRAM1L1,-
chr4,118954772,119179789,ENSG00000164100.9_7,NDST3,+
chr4,119201192,119274158,ENSG00000164099.3_9,PRSS12,-
chr4,119606546,119636588,ENSG00000145388.15_8,METTL14,+
chr4,119643977,119759838,ENSG00000150961.15_11,SEC24D,-
chr4,119771842,119982402,ENSG00000172403.11_17,SYNPO2,+
chr4,120056986,120108944,ENSG00000172399.6_6,MYOZ2,+
chr4,120133741,120216673,ENSG00000145390.12_9,USP53,+
chr4,120217573,120225600,ENSG00000164096.13_12,C4orf3,-
chr4,120238404,120243293,ENSG00000145384.4_9,FABP2,-
chr4,120415551,120549959,ENSG00000138735.16_14,PDE5A,-
chr4,120976777,120988013,ENSG00000164109.14_9,MAD2L1,-
chr4,121606073,121844025,ENSG00000138738.11_14,PRDM5,-
chr4,121956767,121994176,ENSG00000173376.14_9,NDNF,-
chr4,122052562,122148621,ENSG00000050730.16_15,TNIP3,-
chr4,122249796,122302214,ENSG00000186867.11_10,QRFPR,-
chr4,122589100,122618150,ENSG00000164111.15_9,ANXA5,-
chr4,122680035,122686582,ENSG00000164112.14_15,SMIM43,-
chr4,122722472,122738176,ENSG00000123737.13_12,EXOSC9,+
chr4,122737598,122745038,ENSG00000145386.11_9,CCNA2,-
chr4,122745483,122791642,ENSG00000138686.10_10,BBS7,-
chr4,122795635,122873215,ENSG00000138741.11_17,TRPC3,-
chr4,123073485,123285322,ENSG00000138688.17_17,BLTP1,+
chr4,123300120,123350957,ENSG00000164113.11_7,ADAD1,+
chr4,123372624,123377880,ENSG00000109471.5_8,IL2,-
chr4,123531262,123542221,ENSG00000138684.9_14,IL21,-
chr4,123653856,123666097,ENSG00000181004.10_7,BBS12,+
chr4,123747836,123819391,ENSG00000138685.18_13,FGF2,+
chr4,123809851,123844123,ENSG00000170917.14_14,NUDT6,-
chr4,123844224,124240588,ENSG00000145375.9_10,AFG2A,+
chr4,124317949,124324915,ENSG00000164056.11_11,SPRY1,+
chr4,125585202,125633887,ENSG00000151458.12_9,ANKRD50,-
chr4,126236072,126414087,ENSG00000196159.14_8,FAT4,+
chr4,128544425,128647892,ENSG00000164066.13_14,INTU,+
chr4,128651554,128695447,ENSG00000151475.6_7,SLC25A31,+
chr4,128702975,128761888,ENSG00000164070.12_8,HSPA4L,+
chr4,128802047,128820379,ENSG00000142731.11_13,PLK4,+
chr4,128838953,128887189,ENSG00000164073.11_20,MFSD8,-
chr4,128886469,128961108,ENSG00000164074.17_12,ABHD18,+
chr4,128982440,129144086,ENSG00000138709.20_15,LARP1B,+
chr4,129190391,129209984,ENSG00000164040.18_17,PGRMC2,-
chr4,129730854,129796379,ENSG00000077684.16_13,JADE1,+
chr4,129786075,130014755,ENSG00000151466.12_16,SCLT1,-
chr4,130014471,130037795,ENSG00000151470.13_16,C4orf33,+
chr4,134070448,134129761,ENSG00000138650.9_10,PCDH10,+
chr4,135117487,135122944,ENSG00000254535.4_11,PABPC4L,-
chr4,138440071,138453648,ENSG00000189184.12_15,PCDH18,-
chr4,139085250,139163503,ENSG00000151012.13_10,SLC7A11,-
chr4,139936934,139967093,ENSG00000151014.6_7,NOCT,+
chr4,139949265,140098372,ENSG00000109381.21_14,ELF2,-
chr4,140187318,140201379,ENSG00000137463.5_10,MGARP,-
chr4,140188033,140223705,ENSG00000109390.13_10,NDUFC1,-
chr4,140222599,140341187,ENSG00000164134.14_17,NAA15,+
chr4,140374385,140397763,ENSG00000172007.7_10,RAB33B,+
chr4,140414127,140527853,ENSG00000145391.15_12,SETD7,-
chr4,140586921,140661899,ENSG00000085871.9_7,MGST2,+
chr4,140637906,141075338,ENSG00000196782.13_14,MAML3,-
chr4,141178439,141306882,ENSG00000153130.18_16,SCOC,+
chr4,141309606,141348815,ENSG00000153132.13_15,CLGN,-
chr4,141363415,141419531,ENSG00000205301.12_18,MGAT4D,-
chr4,141445321,141474924,ENSG00000179387.10_11,ELMOD2,+
chr4,141480584,141490115,ENSG00000109424.4_9,UCP1,-
chr4,141541935,141677539,ENSG00000109436.8_11,TBC1D9,-
chr4,141780960,142134031,ENSG00000170153.11_13,RNF150,-
chr4,142142040,142155851,ENSG00000109445.11_12,ZNF330,+
